reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
Bill Anderson,2023-07,English,Looking on the website for the floorplan to see where to go. Clicked on floorplan but it doesn't work! Tried another page but that link is broken too. Can't find your way if you don't know where to go...,UZ Gent,looking on the website for the floorplan to see where to go. clicked on floorplan but it doesn't work! tried another page but that link is broken too. can't find your way if you don't know where to go..,0.0,0.895,0.105,-0.6643,negative,negative,0.9997275471687317
Whusky,2023-07,Dutch,Urgently wait hours for sauce,UZ Gent,urgently wait hours for sauce,0.0,1.0,0.0,0.0,neutral,negative,0.9980601668357849
Matthew Horemans,2023-07,Dutch,Professional and helpful as always!,UZ Gent,professional and helpful as always!,0.436,0.564,0.0,0.4753,positive,positive,0.9998106360435486
Truest Cato Maior4Evah,2023-07,Dutch,"for the blood collection service: it is the intention that phlebotomists know what they are doing and that they are well enough trained: searching for several minutes for a suitable vein, appearing nervous, not communicating with the patient and refusing to stop when the patient says to stop because they start to feel nauseous or faint because - due to lack of experience/training - it takes too long, is NOT the intention, my last experience was really close, I had to sit for another 5 minutes afterwards to recover, never before happened, I'm not exactly looking forward to my next appointment and I have no choice but to return every other year, I'm not afraid of needles or anything but I don't want to experience this again

Moreover (for the radiology department) they are not too friendly at the radiology department, you have just come from a scan (it's a good thing that I am not claustrophobic) and the doctors or nursing staff present look at you from head to toe and start chuckling among themselves because you are not used to going under the scan ... arrogance, lack of empathy and academic mentality are all linked together apparently ...",UZ Gent,"for the blood collection service: it is the intention that phlebotomists know what they are doing and that they are well enough trained: searching for several minutes for a suitable vein, appearing nervous, not communicating with the patient and refusing to stop when the patient says to stop because they start to feel nauseous or faint because - due to lack of experience/training - it takes too long, is not the intention, my last experience was really close, i had to sit for another 5 minutes afterwards to recover, never before happened, i'm not exactly looking forward to my next appointment and i have no choice but to return every other year, i'm not afraid of needles or anything but i don't want to experience this again

moreover (for the radiology department) they are not too friendly at the radiology department, you have just come from a scan (it's a good thing that i am not claustrophobic) and the doctors or nursing staff present look at you from head to toe and start chuckling among themselves because you are not used to going under the scan .. arrogance, lack of empathy and academic mentality are all linked together apparently ..",0.039,0.859,0.102,-0.8649,negative,negative,0.9106177687644958
ruiying zhao,2023-07,English,The management team is terrible…they should be supporting but they make everything worse. during our stay they moved us three times for hospital libation and the boss is terrible they never discuss with you they just informed you that you should move! there are a lot of students who did not have enough skills-,UZ Gent,the management team is terrible…they should be supporting but they make everything worse. during our stay they moved us three times for hospital libation and the boss is terrible they never discuss with you they just informed you that you should move! there are a lot of students who did not have enough skills-,0.032,0.829,0.14,-0.8244,negative,negative,0.996785044670105
Pili Hidalgo,2023-07,Dutch,Very professional staff from cleaning to medical staff. Friendly and helpful. Everything is done to make your stay as pleasant as possible.,UZ Gent,very professional staff from cleaning to medical staff. friendly and helpful. everything is done to make your stay as pleasant as possible.,0.329,0.671,0.0,0.8519,positive,positive,0.9997971653938293
Cindy Vermeeren,2023-07,Dutch,"I have been going to this hospital for a year now for my daughter's early puberty. UZ is the only hospital we can go to for this, unfortunately we cannot go to Maria Middel Lares for this. From the 1st appointment there is already misery with the hospital, not keeping appointments, passing on/booking appointments incorrectly and simply not sending a confirmation email or text message, let alone sending a reminder, let them know and they will not reveal the error to you. that you don't have any problems with this and other hospitals are correct, they don't know what to say and they find this strange because no one has any problems. Now I call today when my daughter had her new appointment, since I didn't remember and I didn't have an email, I was told that an appointment has been scheduled with the doctor within 3 days. I was out of the blue for a while, just beginning. September and had to go back to the doctor in April, I needed an appointment for an injection and a blood test, they said that the appointment was on Tuesday, it was now Monday, I have no confirmation email, had no text message or telephone that there was an appointment on Tuesday . I then say, I want a new appointment, they just say you can listen on Wednesday when the doctor calls, I don't deal with the doctor, but with the nurse. so I stand my ground so I say no, I'm now making an appointment for my daughter, it didn't really make sense, normally I would receive a confirmation email tomorrow, I'm curious.

this hospital is for me 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 worth stars
If I had to go to another hospital, I would do so immediately, they cannot give proper appointments, the doctor cannot deal with children, you do not tell a girl of almost 10 years that she is too heavy, a child can develop an eating disorder like this

and in short, the doctor simply makes appointments with parents of which both have not been informed, I have a feeling that this is what happens, the doctor sets appointments in order to have time for himself, if I want it a bit quieter then I take leave from the doctors, this apparently works differently they book so-called patients

This is certainly not the best hospital, on the contrary for me this is the worst hospital ever, it is clear why this is called the cheapest hospital",UZ Gent,"i have been going to this hospital for a year now for my daughter's early puberty. uz is the only hospital we can go to for this, unfortunately we cannot go to maria middel lares for this. from the 1st appointment there is already misery with the hospital, not keeping appointments, passing on/booking appointments incorrectly and simply not sending a confirmation email or text message, let alone sending a reminder, let them know and they will not reveal the error to you. that you don't have any problems with this and other hospitals are correct, they don't know what to say and they find this strange because no one has any problems. now i call today when my daughter had her new appointment, since i didn't remember and i didn't have an email, i was told that an appointment has been scheduled with the doctor within 3 days. i was out of the blue for a while, just beginning. september and had to go back to the doctor in april, i needed an appointment for an injection and a blood test, they said that the appointment was on tuesday, it was now monday, i have no confirmation email, had no text message or telephone that there was an appointment on tuesday . i then say, i want a new appointment, they just say you can listen on wednesday when the doctor calls, i don't deal with the doctor, but with the nurse. so i stand my ground so i say no, i'm now making an appointment for my daughter, it didn't really make sense, normally i would receive a confirmation email tomorrow, i'm curious.

this hospital is for me 0.00 00 worth stars
if i had to go to another hospital, i would do so immediately, they cannot give proper appointments, the doctor cannot deal with children, you do not tell a girl of almost 10 years that she is too heavy, a child can develop an eating disorder like this

and in short, the doctor simply makes appointments with parents of which both have not been informed, i have a feeling that this is what happens, the doctor sets appointments in order to have time for himself, if i want it a bit quieter then i take leave from the doctors, this apparently works differently they book so-called patients

this is certainly not the best hospital, on the contrary for me this is the worst hospital ever, it is clear why this is called the cheapest hospital",0.051,0.885,0.065,-0.7406,negative,negative,0.9977899789810181
Bieke Cardon,2023-07,Dutch,"It's a farce of a hospital, the nurses don't know exactly what they are doing",UZ Gent,"it's a farce of a hospital, the nurses don't know exactly what they are doing",0.0,0.838,0.162,-0.4019,neutral,negative,0.9993829727172852
Nadine Serbruyns,2023-07,Dutch,Customer friendly. Very good information and help.,UZ Gent,customer friendly. very good information and help.,0.694,0.306,0.0,0.8439,positive,positive,0.9998620748519897
Igamov Zaidbek,2023-07,English,Uzbek food 🤩 AMAZING …,UZ Gent,uzbek food 🤩 amazing …,0.487,0.513,0.0,0.5859,positive,positive,0.99981290102005
D.R. N.,2023-07,Dutch,"During my last admission they ""forgot"" to remove my baxter entrance!!
I had heard from other patients that this often happens, but I did not expect to experience this myself.
Unfortunately, I have had less good experiences with this clinic over the last 2 years and therefore only give 3 stars.",UZ Gent,"during my last admission they ""forgot"" to remove my baxter entrance!!
i had heard from other patients that this often happens, but i did not expect to experience this myself.
unfortunately, i have had less good experiences with this clinic over the last 2 years and therefore only give 3 stars.",0.071,0.874,0.055,0.225,positive,negative,0.9860040545463562
Dolfijn1993,2023-07,Dutch,"Not such a good experience.
We were sent to UZ Gent, came from AZ Delta.

AZ Delta had also called UZ to explain everything and make an appointment.

We arrived at the people we had to be with, one friendlier than the other.

The first question was ""what can I do for you""?

Bizarre that you didn't get any information from Az Delta. Az Delta had already explained everything and now we had to do it again.

Wow, I had imagined the first visit differently. Hopefully it will improve as we go there..",UZ Gent,"not such a good experience.
we were sent to uz gent, came from az delta.

az delta had also called uz to explain everything and make an appointment.

we arrived at the people we had to be with, one friendlier than the other.

the first question was ""what can i do for you""?

bizarre that you didn't get any information from az delta. az delta had already explained everything and now we had to do it again.

wow, i had imagined the first visit differently. hopefully it will improve as we go there..",0.119,0.836,0.045,0.8269,positive,negative,0.8724526762962341
xanderdegamer,2023-07,Dutch,Nice parking lot,UZ Gent,nice parking lot,0.583,0.417,0.0,0.4215,positive,positive,0.9998565912246704
Dominika c,2023-07,Dutch,Expert and professional hospital. Fantastic doctors and nurses. The patient is central and the care is warm. The food is also delicious.,UZ Gent,expert and professional hospital. fantastic doctors and nurses. the patient is central and the care is warm. the food is also delicious.,0.408,0.592,0.0,0.9081,positive,positive,0.9998853206634521
Rachid Azdoud,2023-07,Dutch,"It is impossible to be admitted to the emergency psychiatric department UPSIE, usually you get a classic answer No Place, in my case not even acute as an answer on the phone.",UZ Gent,"it is impossible to be admitted to the emergency psychiatric department upsie, usually you get a classic answer no place, in my case not even acute as an answer on the phone.",0.04,0.824,0.136,-0.5267,negative,negative,0.9996302127838135
Mouhanad Khadeja,2023-07,Dutch,Security specialization here,UZ Gent,security specialization here,0.545,0.455,0.0,0.34,positive,positive,0.8807183504104614
Rhyanna geers,2023-07,Dutch,"Doesn't even deserve a 1 star. They lie about everything, don't want to say anything and say we'll see what we can do, all nonsense, I'm never going to come back to this hospital again.",UZ Gent,"doesn't even deserve a 1 star. they lie about everything, don't want to say anything and say we'll see what we can do, all nonsense, i'm never going to come back to this hospital again.",0.0,0.894,0.106,-0.4445,neutral,negative,0.9989274144172668
Michal Korson,2023-07,French,UZ Gent is one of the best hospitals in Belgium. Very professional doctors.,UZ Gent,uz gent is one of the best hospitals in belgium. very professional doctors.,0.259,0.741,0.0,0.6369,positive,positive,0.9996953010559082
Dominique Van Rysselberghe,2023-07,Dutch,Was treated very poorly by the emergency psychologist. They had a clear referral letter from the GP that the son urgently needed to be admitted and on the spot she did not want to listen and simply said there was no room in UZ and they were sent back home without anything.,UZ Gent,was treated very poorly by the emergency psychologist. they had a clear referral letter from the gp that the son urgently needed to be admitted and on the spot she did not want to listen and simply said there was no room in uz and they were sent back home without anything.,0.07,0.824,0.106,-0.2551,neutral,negative,0.999711811542511
Joost De Loor,2023-07,Dutch,"Extremely rude approach to a covid test, really substandard, shouting and being rude to someone who has a fever.",UZ Gent,"extremely rude approach to a covid test, really substandard, shouting and being rude to someone who has a fever.",0.0,0.73,0.27,-0.7425,negative,negative,0.9995794892311096
Mohammed “Ibn Batota1867” Chagri,2022-07,Dutch,Old and new part together. The new one was the children's tower. Looks neat.,UZ Gent,old and new part together. the new one was the children's tower. looks neat.,0.188,0.812,0.0,0.4588,positive,positive,0.9981623291969299
teteslog,2022-07,Dutch,"Come to have a tooth pulled and have to wait more than two hours after my “appointment”
Fed up",UZ Gent,"come to have a tooth pulled and have to wait more than two hours after my “appointment”
fed up",0.0,1.0,0.0,0.0,neutral,negative,0.9982082843780518
Dirk Alfons,2022-07,Dutch,"I have been going to the hospital for years and have always been treated well until a few years ago when I did something about it, filed a complaint and went to the police myself, I don't take it seriously! This hospital was a home to me. Where a person should feel safe, it becomes a place where I certainly no longer feel good!
I hope you will take a look at the people who work there who are not acting correctly.",UZ Gent,"i have been going to the hospital for years and have always been treated well until a few years ago when i did something about it, filed a complaint and went to the police myself, i don't take it seriously! this hospital was a home to me. where a person should feel safe, it becomes a place where i certainly no longer feel good!
i hope you will take a look at the people who work there who are not acting correctly.",0.163,0.79,0.047,0.8721,positive,negative,0.501470685005188
Jeannine Stamper,2022-07,Dutch,I have always been very well taken care of and very satisfied.,UZ Gent,i have always been very well taken care of and very satisfied.,0.499,0.501,0.0,0.8381,positive,positive,0.9998539686203003
Sam De Clercq,2022-07,Dutch,"A horrible DAY CLINIC where appointments are postponed days in advance, resulting in very long waiting times.
There is NO structure in the organization at the various counters, which apparently communicate very poorly with each other.
Here everything goes wrong, people are put on hold in the waiting room and you see +30 patients after you being treated earlier.
The nursing staff takes over places where patients will lie down after surgery, this is because the old staff cannot handle the faster system and let patients make their own plans. There was no fresh clothing for surgery, what we received had already been used. Here you will find proof that you do NOT have to look for respect for nursing in corona times. Simply unthinkable and ""very low quality"" of healthcare science at this service.",UZ Gent,"a horrible day clinic where appointments are postponed days in advance, resulting in very long waiting times.
there is no structure in the organization at the various counters, which apparently communicate very poorly with each other.
here everything goes wrong, people are put on hold in the waiting room and you see +30 patients after you being treated earlier.
the nursing staff takes over places where patients will lie down after surgery, this is because the old staff cannot handle the faster system and let patients make their own plans. there was no fresh clothing for surgery, what we received had already been used. here you will find proof that you do not have to look for respect for nursing in corona times. simply unthinkable and ""very low quality"" of healthcare science at this service.",0.021,0.876,0.102,-0.8706,negative,negative,0.9996799230575562
Faar Oulad issa,2022-07,Dutch,I prefer to drive to uz leuven 1h40,UZ Gent,i prefer to drive to uz leuven 1h40,0.0,1.0,0.0,0.0,neutral,negative,0.97067791223526
Asya Rezovwrickeshaka,2022-07,English,I went to this hospital back in 1989 for a pregnancy test. Now my daughter Asya is 33 years old.,UZ Gent,i went to this hospital back in 1989 for a pregnancy test. now my daughter asya is 33 years old.,0.0,1.0,0.0,0.0,neutral,negative,0.9607504606246948
Annick Schouppe,2022-07,Dutch,"The emergency psychiatry department is below all human standards! Trying to make an appointment by phone to visit my daughter, apparently it was too much to ask on the phone. The lady in the department didn't have time, I had to go to the GP. Even in this critical condition of my daughter I was told that there was no room for her anyway and she simply closed the phone without any further explanation!! I finally went to St.Jan Hospital in Bruges, where we were immediately kindly received and there was room for my daughter's critical condition.",UZ Gent,"the emergency psychiatry department is below all human standards! trying to make an appointment by phone to visit my daughter, apparently it was too much to ask on the phone. the lady in the department didn't have time, i had to go to the gp. even in this critical condition of my daughter i was told that there was no room for her anyway and she simply closed the phone without any further explanation!! i finally went to st.jan hospital in bruges, where we were immediately kindly received and there was room for my daughter's critical condition.",0.03,0.87,0.1,-0.7507,negative,negative,0.9995062351226807
Adil Talhaoui,2022-07,Dutch,"The nurses in the emergency room were super sweet, except for one Nele who was really aggressive when pulling off my son's plaster, also very nonchalant and not at all involved, let's not talk about the aggressive way of inserting a swab into the nose of a 1-year-old baby!",UZ Gent,"the nurses in the emergency room were super sweet, except for one nele who was really aggressive when pulling off my son's plaster, also very nonchalant and not at all involved, let's not talk about the aggressive way of inserting a swab into the nose of a 1-year-old baby!",0.126,0.768,0.106,0.4765,positive,positive,0.9781467318534851
Jayda Kay,2022-07,Dutch,"Horrible orthodontists who do not listen to the patient's needs and on top of that also assume that you do not speak Dutch because you look ""different"" while you speak to them in flawless Dutch. I certainly don't recommend them. The appointment was a waste of money and I ended up having to find another ortho. Fortunately, this was able to help me immediately and my teeth have made great progress.

The “hand specialist” also seemed to know little about it. According to him, my condition was “normal” and there was “nothing that could be done about it”. Strangely enough, I was immediately helped in another hospital and the operation has already been planned.

The general care in this hospital leaves much to be desired and I would give them 0 stars if I could. Definitely not recommended.",UZ Gent,"horrible orthodontists who do not listen to the patient's needs and on top of that also assume that you do not speak dutch because you look ""different"" while you speak to them in flawless dutch. i certainly don't recommend them. the appointment was a waste of money and i ended up having to find another ortho. fortunately, this was able to help me immediately and my teeth have made great progress.

the “hand specialist” also seemed to know little about it. according to him, my condition was “normal” and there was “nothing that could be done about it”. strangely enough, i was immediately helped in another hospital and the operation has already been planned.

the general care in this hospital leaves much to be desired and i would give them 0 stars if i could. definitely not recommended.",0.156,0.769,0.076,0.9169,positive,negative,0.9953423738479614
Светлана Кравченко,2022-07,Ukrainian,Very good! Thank you for supporting 🇺🇦👍 and treating Ukrainians!💛💙 …,UZ Gent,very good! thank you for supporting 🇺🇦👍 and treating ukrainians!💛💙 …,0.598,0.402,0.0,0.9575,positive,positive,0.999869704246521
patrick Verhaeghe,2022-07,Dutch,very dissatisfied with the doctor who was there when I fell and his comments about uz,UZ Gent,very dissatisfied with the doctor who was there when i fell and his comments about uz,0.0,0.838,0.162,-0.4391,neutral,negative,0.9996377229690552
Maria,2022-07,English,Ghent University Hospital offers a full range of top health care. UZ Gent is one of the biggest  hospitals in Flanders. UZ Gent also invests in scientific research and training working with the Faculty of Medicine and Health Sciences of Ghent University. Gentenaars are proud of UZGent.,UZ Gent,ghent university hospital offers a full range of top health care. uz gent is one of the biggest hospitals in flanders. uz gent also invests in scientific research and training working with the faculty of medicine and health sciences of ghent university. gentenaars are proud of uzgent.,0.155,0.845,0.0,0.7964,positive,positive,0.999599277973175
Natalie Saey,2022-07,Dutch,"I go to the dermatology department every 2 months to participate in a study on psoriasis where I inject my biologics in the meantime.
I always receive a very friendly welcome from Brigitte, for whom a good conversation is never too much and she really takes the time for you.",UZ Gent,"i go to the dermatology department every 2 months to participate in a study on psoriasis where i inject my biologics in the meantime.
i always receive a very friendly welcome from brigitte, for whom a good conversation is never too much and she really takes the time for you.",0.171,0.829,0.0,0.8648,positive,positive,0.9997023940086365
Joost De Brouwer,2022-07,Dutch,"Even though I was very healthy, I did not get a second ice cream after the operation. Otherwise it was 5 stars.",UZ Gent,"even though i was very healthy, i did not get a second ice cream after the operation. otherwise it was 5 stars.",0.125,0.875,0.0,0.4576,positive,negative,0.9888506531715393
Amelia Kaddachi,2022-07,Dutch,"I must have waited more than 5 hours for 1 blood test and 2 conversations. How is this possible if they make people wait so long without any shame, but can still strike up a conversation whenever they get inconvenienced?
UZ Gent is one of the WORST hospitals I know",UZ Gent,"i must have waited more than 5 hours for 1 blood test and 2 conversations. how is this possible if they make people wait so long without any shame, but can still strike up a conversation whenever they get inconvenienced?
uz gent is one of the worst hospitals i know",0.032,0.837,0.132,-0.7665,negative,negative,0.999683141708374
Sabine Verbeke,2022-07,Dutch,Uz is a hospital with many facets.,UZ Gent,uz is a hospital with many facets.,0.0,1.0,0.0,0.0,neutral,positive,0.5579448342323303
Jean louis Barbe,2022-07,Dutch,"They do not offer any help, got an appointment, 1 hour 30 minutes by bus and then 45 minutes in waiting room, only to be told that it is not the right service (appointment made via call center, they are trained for this) then at the information desk, entrance 50, they promised to give an appointment this week, they were going to call back, they called back, wait until 26/01, then tried via the ombudsman service, same answer, conclusion patient is a number",UZ Gent,"they do not offer any help, got an appointment, 1 hour 30 minutes by bus and then 45 minutes in waiting room, only to be told that it is not the right service (appointment made via call center, they are trained for this) then at the information desk, entrance 50, they promised to give an appointment this week, they were going to call back, they called back, wait until 26/01, then tried via the ombudsman service, same answer, conclusion patient is a number",0.044,0.93,0.026,0.1386,positive,negative,0.9995244741439819
Filip Bosmans,2022-07,English,"My family had several, let's call em ""bad experiences"" dentistry department, eventually we even filed a complaint with their complaints department.
Waited patiently to get contacted as they promised. …",UZ Gent,"my family had several, let's call em ""bad experiences"" dentistry department, eventually we even filed a complaint with their complaints department.
waited patiently to get contacted as they promised. …",0.068,0.705,0.228,-0.7096,negative,negative,0.99864262342453
Gülcihan Sayar,2022-07,Dutch,"I have had to take a covid test several times in different places, never had a problem, always very friendly people who took my test, but what I experienced at the Ghent University Hospital was scandalous, ladies who literally took samples against their will, in a crude way she said that I had to keep my mask on, then I asked: how are you going to take the test? She said, yes but yes, you know that you have to hold your mask up to your nose!!! Anyway, then she literally rams the whole stick into my nose, tears flowed from my eyes, without compassion she certainly turns the stick 10 times in my nose which made me gag, it was the first and last time I will be there for a test.",UZ Gent,"i have had to take a covid test several times in different places, never had a problem, always very friendly people who took my test, but what i experienced at the ghent university hospital was scandalous, ladies who literally took samples against their will, in a crude way she said that i had to keep my mask on, then i asked: how are you going to take the test? she said, yes but yes, you know that you have to hold your mask up to your nose!! anyway, then she literally rams the whole stick into my nose, tears flowed from my eyes, without compassion she certainly turns the stick 10 times in my nose which made me gag, it was the first and last time i will be there for a test.",0.071,0.791,0.138,-0.9097,negative,negative,0.998178243637085
Pascale Slootmans,2022-07,Dutch,"So your doctor who gives lectures about ending life and is sponsored by the big pharmaceutical giants, do you as UZ include your hospital name in an advertising campaign of the Open VLD to pit the vaccinated against the unvaccinated?

As a non-vaccinated person, I would be afraid to have anyone from your family treated with you at all. Maybe one of you will pull the plug if this is all acceptable?",UZ Gent,"so your doctor who gives lectures about ending life and is sponsored by the big pharmaceutical giants, do you as uz include your hospital name in an advertising campaign of the open vld to pit the vaccinated against the unvaccinated?

as a non-vaccinated person, i would be afraid to have anyone from your family treated with you at all. maybe one of you will pull the plug if this is all acceptable?",0.036,0.964,0.0,0.3939,positive,negative,0.9985861778259277
Sofie R,2022-07,Dutch,"Very bad experience with this so-called 'university hospital'. To me it is not worthy of that name. Here you are just a number. The well-being of the patient is not important at all, they are only after your money. Firstly, the hospital is terribly poorly organized and the communication between the services is also substandard. You are simply sent from here to there without any results, with extremely long waiting times in between. Especially a very bad experience with doctor ARNE BURSSENS (orthopaedist). I had a problem in both feet. The doctor didn't even think it was necessary to look at my feet (he remained sitting behind his desk) or to refer me ?!!!!! He diagnosed me with tarsal tunnel on both feet which in retrospect was completely wrong!! He didn't even bother to look at the results of my previous tests... Ultimately, after a long wait, I ended up in the pain clinic where the nurse at the counter was extremely unfriendly. They had tried a treatment and it did not work and she informed me in a very unfriendly way that she could not help me further and that I had to look for other solutions myself... Ultimately I ended up at a private clinic in Melle where I was listened to and where the doctor gave me a completely different and this time correct diagnosis and without long waiting times. My advice: DO NOT go to a university hospital and certainly not UZ-Gent. A smaller clinic makes more effort and it goes much smoother and faster.",UZ Gent,"very bad experience with this so-called 'university hospital'. to me it is not worthy of that name. here you are just a number. the well-being of the patient is not important at all, they are only after your money. firstly, the hospital is terribly poorly organized and the communication between the services is also substandard. you are simply sent from here to there without any results, with extremely long waiting times in between. especially a very bad experience with doctor arne burssens (orthopaedist). i had a problem in both feet. the doctor didn't even think it was necessary to look at my feet (he remained sitting behind his desk) or to refer me ?!! he diagnosed me with tarsal tunnel on both feet which in retrospect was completely wrong!! he didn't even bother to look at the results of my previous tests.. ultimately, after a long wait, i ended up in the pain clinic where the nurse at the counter was extremely unfriendly. they had tried a treatment and it did not work and she informed me in a very unfriendly way that she could not help me further and that i had to look for other solutions myself.. ultimately i ended up at a private clinic in melle where i was listened to and where the doctor gave me a completely different and this time correct diagnosis and without long waiting times. my advice: do not go to a university hospital and certainly not uz-gent. a smaller clinic makes more effort and it goes much smoother and faster.",0.026,0.855,0.119,-0.9807,negative,negative,0.9998101592063904
Jeanmarie Van Lierde,2022-07,Dutch,"Discharged this afternoon at vascular K12 5th floor. Nursing there was top notch, especially the nurse and intern who cared for me this morning and helped me with discharge. Thank you!",UZ Gent,"discharged this afternoon at vascular k12 5th floor. nursing there was top notch, especially the nurse and intern who cared for me this morning and helped me with discharge. thank you!",0.209,0.791,0.0,0.75,positive,positive,0.9994012117385864
Willem D.,2022-07,Dutch,"Large and old looking hospital but with very good care at a high level, all medical specializations in house. Friendly and knowledgeable staff and excellent in terms of equipment. Ample parking. Only the food is less.",UZ Gent,"large and old looking hospital but with very good care at a high level, all medical specializations in house. friendly and knowledgeable staff and excellent in terms of equipment. ample parking. only the food is less.",0.365,0.635,0.0,0.9655,positive,positive,0.9991129040718079
Alejandra López Ruíz,2022-07,English,"Could be the best in whatever thing...but if you call for an appointment and you still have to wait A MONTH for a consultation to be given one's results after undergone an ecocardiography and the 24-Hour Holter Monitoring, I am sorry but it is overall even worse than any other (under)developing country health service.",UZ Gent,"could be the best in whatever thing..but if you call for an appointment and you still have to wait a month for a consultation to be given one's results after undergone an ecocardiography and the 24-hour holter monitoring, i am sorry but it is overall even worse than any other (under)developing country health service.",0.044,0.866,0.09,-0.4019,neutral,negative,0.9992637038230896
Hannes,2022-07,Dutch,"In the emergency room I felt like I was in a 3rd world country. Waiting for hours without updates, monitor continuously on alarm, no nurses looking after it. And this with a very sick baby...",UZ Gent,"in the emergency room i felt like i was in a 3rd world country. waiting for hours without updates, monitor continuously on alarm, no nurses looking after it. and this with a very sick baby..",0.058,0.693,0.249,-0.807,negative,negative,0.9980575442314148
gilbert zenner,2022-07,Dutch,I CERTAINLY DON'T THINK IT IS UNABLE THAT WE NO LONGER HAVE A PERMANENT DOCTOR AT THE UZ. I HAVE ALREADY TALKED ABOUT IT WITH PROF VAN BIESSEN. ZENNER GILBERT 01/10/43,UZ Gent,i certainly don't think it is unable that we no longer have a permanent doctor at the uz. i have already talked about it with prof van biessen. zenner gilbert 01/10/43,0.071,0.863,0.065,0.0516,positive,negative,0.87187659740448
marlies vandekerckhove,2022-07,Dutch,Satisfying,UZ Gent,satisfying,1.0,0.0,0.0,0.4588,positive,positive,0.999862790107727
Kristel De Greef,2022-07,Dutch,highly specialized and high-quality care certainly does NOT apply to surgical procedures performed by the plastic surgery service.  Pre and post-operative follow-up by different surgeons (in training or not) was worthless for me.,UZ Gent,highly specialized and high-quality care certainly does not apply to surgical procedures performed by the plastic surgery service. pre and post-operative follow-up by different surgeons (in training or not) was worthless for me.,0.211,0.789,0.0,0.7909,positive,negative,0.999267041683197
Myriam Wielfaert,2022-07,Dutch,"Yesterday was the first time I have been to the Ghent hospital, very friendly, helpful, fast service, very good explanation, highly recommended for family and friends, Myriam",UZ Gent,"yesterday was the first time i have been to the ghent hospital, very friendly, helpful, fast service, very good explanation, highly recommended for family and friends, myriam",0.405,0.595,0.0,0.932,positive,positive,0.9995507597923279
Kitty Quinet,2022-07,Dutch,What you expect from a hospital,UZ Gent,what you expect from a hospital,0.0,1.0,0.0,0.0,neutral,negative,0.979057788848877
ILine Venar,2022-07,English,"Not much people, clean hospital and nice doctors",UZ Gent,"not much people, clean hospital and nice doctors",0.253,0.543,0.204,0.1386,positive,negative,0.9957596659660339
Sylvia Bout,2022-07,Dutch,"As a Dutch person, I am more than satisfied with the whole thing. Fantastic doctor and super friendly staff. Highly recommended.",UZ Gent,"as a dutch person, i am more than satisfied with the whole thing. fantastic doctor and super friendly staff. highly recommended.",0.498,0.502,0.0,0.942,positive,positive,0.9998619556427002
Piet 64,2022-07,Dutch,"A big shout out to Dr. De Caesstecker and his entire team (including the nursing staff) for the way they cared for my autistic brother before, during and after his major operation!!!!",UZ Gent,"a big shout out to dr. de caesstecker and his entire team (including the nursing staff) for the way they cared for my autistic brother before, during and after his major operation!!",0.098,0.902,0.0,0.5242,positive,positive,0.9952142238616943
thomas mariage,2021-07,French,"Top because and being French we were well taken care of quickly., well unfortunately it didn't end well, hospital is not responsible, those are the things of life 🙏 …",UZ Gent,"top because and being french we were well taken care of quickly., well unfortunately it didn't end well, hospital is not responsible, those are the things of life 🙏 …",0.234,0.61,0.157,0.4632,positive,negative,0.9983972907066345
Marieke Jonker,2021-07,Dutch,"Terrible infrastructure.  5 disabled parking spaces are always full or there are some that do not have a card.
Elevator requires an average wait of half an hour. Standing stuffed up. Nice with covid.
Wait 30 to 45 minutes at reception.  Please change your policy.  We don't come here anymore. Last time was today.",UZ Gent,"terrible infrastructure. 5 disabled parking spaces are always full or there are some that do not have a card.
elevator requires an average wait of half an hour. standing stuffed up. nice with covid.
wait 30 to 45 minutes at reception. please change your policy. we don't come here anymore. last time was today.",0.086,0.861,0.052,0.25,positive,negative,0.955634355545044
Van Gerwen Hedwig,2021-07,Dutch,A very good hospital. Very friendly. Good reception. Enjoy food. And certainly kudos to the nursing service.,UZ Gent,a very good hospital. very friendly. good reception. enjoy food. and certainly kudos to the nursing service.,0.63,0.37,0.0,0.9569,positive,positive,0.999869704246521
Cel Van Den Daele,2021-07,Dutch,Best hospital in Flanders for cancer research.,UZ Gent,best hospital in flanders for cancer research.,0.309,0.368,0.324,-0.0516,neutral,positive,0.9989771842956543
Gary Poppelreiter,2021-07,French,"Wasted 4 years of my life for nothing waiting on them. Since Monstery left, the andro fsit team doesn't imp... Ftm run away, there are competent chir who make real phallos and not what we impose here.",UZ Gent,"wasted 4 years of my life for nothing waiting on them. since monstery left, the andro fsit team doesn't imp.. ftm run away, there are competent chir who make real phallos and not what we impose here.",0.101,0.821,0.077,-0.0031,neutral,positive,0.9893933534622192
marjolein callens,2021-07,Dutch,It's a hassle to register and then go to the right place. Especially if you have difficulty walking,UZ Gent,it's a hassle to register and then go to the right place. especially if you have difficulty walking,0.0,0.876,0.124,-0.34,neutral,positive,0.9915415644645691
Caroline Amant,2021-07,French,Easy to access,UZ Gent,easy to access,0.592,0.408,0.0,0.4404,positive,positive,0.9996585845947266
